Stanza_text,ST_Correct,Title,Author,Year,Copyrighted
"Me crucifican y yo debo ser la cruz y los clavos. 
Me tienden la copa y yo debo ser la cicuta. 
Me engañan y yo debo ser la mentira. 
Me incendian y yo debo ser el infierno. 
Debo alabar y agradecer cada instante del tiempo. 
Mi alimento es todas las cosas. 
El peso preciso del universo, la humillación, el júbilo. 
Debo justificar lo que me hiere. 
No importa mi ventura o mi desventura. 
Soy el poeta.",None,El cómplice,"Borges, Jorge Luis",1986,Yes
"La renovada muerte de la noche 
en la que ya no nos queda 
sino la breve luz de la conciencia 
y tendernos al lado de los libros 
de donde las palabras escaparon sin fuga, 
crucificadas en mi mano, y en esta cripta de familia 
en la que existe en cada espejo 
y en cada sitio la evidencia del crimen 
y en cuyos roperos dejamos 
la crisálida de los adioses irremediables 
con que hemos de embalsamar el futuro, 
y en los ahorcados que penden de cada lámpara, 
y en el veneno de cada vaso que apuramos, 
y en esa silla eléctrica 
en que hemos abandonado nuestros disfraces 
para ocultarnos bajo los solitarios sudarios, 
mi corazón ya no sabe sino marcar el paso 
y dar vueltas como un tigre de circo 
inmediato a una libertad inasible. 
Todos hemos ido llegando a nuestras tumbas 
a buena hora, a la hora debida, 
en ambulancias de cómodo precio 
o bien de suicidio natural y premeditado. 
Y yo no puedo seguir trazando un escenario perfecto 
en que la luna habría de jugar un papel importante, 
porque en estos momentos 
hay trenes por encima de toda la tierra 
que lanzan unos dolorosos suspiros 
y que parten, 
y la luna no tiene nada que ver 
con las breves luciérnagas que nos vigilan
desde un azul cercano y desconocido 
lleno de estrellas políglotas e innumerables.",None,La renovada muerte de la noche,"Novo, Salvador",1974,Yes
"Sobre la nieve se oye resbalar la noche
La canción caía de los árboles
Y tras la niebla daban voces
De una mirada encendí mi cigarro
Cada vez que abro los labios
Inundo de nubes el vacío
En el puerto
Los mástiles están llenos de nidos
Y el viento
gime entre las alas de los pájaros
Las Olas Mecen El Navío Muerto
Yo en la orilla silbando
Miro la estrella que humea entre mis dedos.",None,Noche,"Huidobro, Vicente",1948,Yes
"En el pabellón desierto
están las violas dormidas;
¡las violas están dormidas
en el pabellón desierto!
Y las violas doloridas
en el pabellón desierto,
donde canta el desacierto
sus victorias más cumplidas,
abren mis viejas heridas,
como campanas de muerto,
las viejas violas dormidas
en el pabellón desierto.",None,El juglar triste,"Quiroga, Horacio",1937,
"Esta impresión de estar
vivo ya para el cielo
y —no obstante— en la tierra
de tu corazón, muerto!...",cantar,En abril desamor,"Torres Bodet, Jaime",1974,Yes
"Ayer soñé que veía
a Dios y que a Dios hablaba;
y soñé que Dios me oía...
Después soñé que soñaba.",cantar,PROVERBIOS Y CANTARES - XXI,"Machado, Antonio",1939,
"¡Papá, papá, que el barquito
se me lo llevó la playa!
Dame tu bastón, papá,
para castigar el agua.",cantar,  LIQUEN 27,"García Cabrera, Pedro",1981,Yes
"Bueno es saber que los vasos
nos sirven para beber;
lo malo es que no sabemos
para qué sirve la sed.",cantar,PROVERBIOS Y CANTARES - XLI,"Machado, Antonio",1939,Yes
"En tus ojos un misterio;
en tus labios un enigma.
Y yo fijo en tus miradas
y extasiado en tus sonrisas.",cantar,    RIMAS - X,"Darío, Rubén",1916,
"Algunos desesperados
sólo se curan con soga;
otros con siete palabras:
la fe se ha puesto de moda.",cantar,Proverbios y cantares LVII,"Machado, Antonio",1939,
"¡Ojos que a la luz se abrieron
un día para, después,
ciegos tornar a la tierra,
hartos de mirar sin ver!",cantar,PROVERBIOS Y CANTARES - XII,"Machado, Antonio",1939,
"¿Al norte? Vamos al norte.
¿Al sur? Pues vamos al sur.
Como sea sobre el agua
yo voy donde vayas tú.",cantar,Líquenes,"García Cabrera, Pedro",1981,Yes
"¡Qué hueco tan robado
el de este vano cielo
que nada al alma pone,
ni nada quita al cuerpo!",cantar,Zinc,"Jiménez, Juan Ramón",1958,Yes
"Si un vaso desvencijado
tiene alguna utilidad,
un corazón viejo y triste
puede servir mucho más.",cantar,Certeza,"Rugeles, Manuel Felipe",1959,Yes
"La envidia de la virtud 
hizo a Caín criminal. 
¡Gloria a Caín! Hoy el vicio 
Es lo que se envidia más.",cantar,Proverbios y Cantares - X,"Machado, Antonio",1939,
"—¿Sabremos nosotros, vivos,
ir adonde está ella?
—...Pero ella sabrá venir
a nosotros, muerta.",cantar,El pasaje,"Jiménez, Juan Ramón",1958,Yes
"¿Para qué llamar caminos
 a los surcos del azar?... 
Todo el que camina anda, 
como Jesús, sobre el mar.",cantar,Proverbios y Cantares -II,"Machado, Antonio",1939,
"En preguntar lo que sabes 
el tiempo no has de perder.. 
Y a preguntas sin respuesta 
¿quién te podrá responder?",cantar,Proverbios y Cantares - VIII,"Machado, Antonio",1939,
"Tengo a mis amigos
en mi soledad;
cuando estoy con ellos
¡qué lejos están!",cantar,PROVERBIOS Y CANTARES. LXXXVI,"Machado, Antonio",1939,
"Es mi historia de ensueño,
cielo anhelado,
mi alegría, mi dueño
tiempo soñado.
La brisa
fresca, fluye sin prisa.
El beso
dulce, tierno embeleso.
Mi calma
eterna, place a mi alma.",chamberga,Mi amor,Armonia,-,Yes
"Atención, que ha salido
la luna clara
desterrando tinieblas,
dando esperanza.
La dice:
La alegría que diste.
La gala,
canta por la mañana.
De día,
Dios te salve, María",chamberga,Ave María Glosada,"de Olmeda, Federico",1909,
"Son sol en mi ventana
son mi verdad,
mis luceros, mi orgullo
mi agua y mi pan
Elena
cascabel que solfea
Diana
es la rosa esperada
mis hijas
dicha, beso y sonrisa",chamberga,Mis hijas,CIBERCHUS,-,Yes
"Alto fue, y en virtudes
que tuvo excelsas,
su excelencia me admira
como su alteza.
Su estado
se me pasa por alto;
esperen
de su alteza mercedes,
que el santo
si no pródigo, es largo.",chamberga,"Altofue, y en virtudes",Anonymous,Unknown,
"Por Señor tuvo el Diablo;
Mas no sin causa,
Que señor le acredita
Lo mal que paga:
Mas dijo,
No es buen dueño el que sirvo,
Pues huye
De temor de las Cruces,
Criado
Es pues teme los palos",chamberga,A San Cristóbal,"Sánchez, Vicente",1680,
"El pasar en sus hombros
Hombres a nado,
Le tomó muy de asiento,
y era de paso;
Y es fama,
Que con eso pasaba,
Son juros,
Y censales seguros,
Es llano
Pues sobre él se cargaron",chamberga,A San Cristóbal,"Sánchez, Vicente",1680,
"Hoy de España un rey santo
celebra Roma,
la tonadilla nueva
todos la oigan.
Ya escucho
porque es tono de gusto.
Sirenas
cantan a la chamberga
y el tono
chambergado es en todo",chamberga,Mojiganga que se hizo en fiesta de Sevilla año de 1672,Anonymous,Unknown,
"Si por santo publica
Roma a Fernando,
es cierto que San Pedro
lo ha dicho claro.
Corona
tiénela como hay gloria
y el reino
le dejó por el cielo
¡Qué dicha
ha tenido Sevilla!",chamberga,Mojiganga que se hizo en fiesta de Sevilla año de 1672,Anonymous,Unknown,
"Hoy ensalzo a Cristóbal, 
pero es tan alto 
que mi pluma no puede 
más levantarlo, 
que el hombre 
es de prendas mayores, 
le vemos 
para todo dispuesto, 
por grande 
no hay favor que no alcance.",chamberga,A San Cristóbal,"Sánchez, Vicente",1680,
"Un pesebre es oriente
del Sol y el Alba,
y a sus luces no importa
todo una paja.
Arista,
¡cómo enciende la vista!
Pajuelas
son incendios de estrellas
Flamantes,
que se abrasan lo aires…",chamberga,Un pesebre es oriente,"de León Marchante, Manuel",1680,
"tus casos falaçes, Fortuna, cantamos,
estados de gentes que giras e trocas;
tus grandes discordias, tus firmezas pocas,
y los qu'en tu rueda quexosos fallamos.
Fasta que al tempo de agora vengamos
de fechos pasados cobdicia mi pluma
y de los presentes fazer breve suma,
y dé fin Apolo, pues nos començamos.",copla_arte_mayor,Argumenta contra la Fortuna,"Mena, Juan de",1456,
"«Amores me dieron corona de amores
por que mi nombre por más bocas ande.
Entonces non era mi mal menos grande
quando me davan plazer sus dolores.
Vencen el seso los dulces errores,
mas no duran siempre segund luego plazen;
pues me fizieron de mal que vos fazen,
sabed al amor desamar, amadores.",copla_arte_mayor,Cantar de Macías,"Mena, Juan de",1456,
"E ya, pues, desrama de tus nuevas fuentes
en mí tu subçidio, inmortal Apolo;
aspira en mi boca por que pueda sólo
virtudes e viçios narrar de potentes.
A estos mis dichos mostradvos presentes,
o fijas de Tespis, con vuestro thesoro,
y con armonía de aquel dulçe choro
suplid cobijando mis inconvenientes.",copla_arte_mayor,Otra vez invoca,"Mena, Juan de",1456,
"Tanto anduvimos el cerco mirando,
que nos fallamos con nuestro Macías,
e vimos que estava llorando los días
con que su vida tomó fin amando.
Lleguéme más çerca, turbado ya quando
vi ser un tal ombre de nuestra nación,
e vi que dezía tal triste canción,
en elegíaco verso cantando:",copla_arte_mayor,Cómo falló Macías,"Mena, Juan de",1456,
"Tú, Calïope, me sey favorable,
dándome alas de don virtuoso,
y por que discurra por donde non oso,
conbida mi lengua con algo que fable.
Levante la Fama su boz inefable,
por que los fechos que son al presente
vayan de gente sabidos en gente;
olvido non prive lo que es memorable.",copla_arte_mayor,Invocación,"Mena, Juan de",1456,
"Venid a la danza mortal los nacidos
gamuzas y ojotas venid a la danza
aquí no se inclina jamás la balanza
lacayos y reyes lanzando bufidos
tomados del brazo ya danzan unidos
Un ropavejero será tu pareja
tendrás que entregarle tu carne más vieja
y en puro esqueleto dar saltos tullidos",copla_arte_mayor,Venid a la danza mortal,"Hahn, Óscar",-,Yes
"¿Pues, cómo, Fortuna, regir todas cosas
con ley absoluta sin orden te plaze?
¡Tú non farías lo qu'el cielo faze,
e fazen los tiempos, las plantas e rosas?
O muestra tus hobras ser siempre dañosas,
o prósperas, buenas, durables, eternas;
non nos fatigues con vezes alternas,
alegres agora e agora enojosas.",copla_arte_mayor,A Fortuna,"Mena, Juan de",1456,
"¿Quieres pasar? La noche está callada…
Escucha el leve son de nuestro aliento,
y el beso que promete sobre el viento
la muda excitación de tu mirada.
La sed la ha de calmar la madrugada.
Quitémonos la piel de puro intento.
—Los dos sabemos que este es el momento.—
Hagamos el amor… no digas nada.",copla_arte_mayor,La invitación,"Mena, Juan de",1456,
"Viénele a un mono la chusca idea
De ornar con flores a una marrana,
Y ella al mirarse ya tan galana,
Envanecida se contonea.
Y a cuantos mira grúñeles: ¡ea!
¡paso a la venus! ¡todos atrás!
¡ah! dijo el zorro: siempre eres fea;
pero adornada: ¡mil veces más!",copla_arte_mayor,La marrana peripuesta,"Pombo, Rafael",1912,
"Pues dame liçençia, mudable Fortuna,
por tal que blasme de ti como devo.
Lo que a los sabios non deve ser nuevo
inoto a persona podrá ser alguna;
e pues que tu fecho así contrapuna,
fas a tus casos como se concorden,
ca todas las cosas regidas por orden
son amigables de forma más una.",copla_arte_mayor,Disputa con la Fortuna,"Mena, Juan de",1456,
"Entre las cuales venía
a la parte de Levante
un poderoso elefante
que encima de sí traía
de hermosa geometría
un castillo bien obrado;
cómo era fabricado,
expresar no lo sabría.",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458,
"Una dueña que vestía
paños de claro rubí
entre sus almenas ví;
de quien por cierto diría
que la su filosomía
y forma no era humana
ni de la regla profana
de la terrestre bailía",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458,
"Cultivo una rosa blanca,
En julio como en enero,
Para el amigo sincero
Que me da su mano franca.
Y para el cruel que me arranca
El corazón con que vivo,
Cardo ni oruga cultivo:
Cultivo la rosa blanca.",copla_arte_menor,Cultivo una rosa blanca,"Martí, José",1895,
"Un prado de grand llanura
veía, con tantas flores,
que sus diversas colores
ocultavan la verdura,
odífferas sin messura;
en torno del qual passava
un flumen, que lo çercava
con su muy gentil fondura.",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458,
"Ánimas que desta casa
partistes al purgatorio,
ya en sillón, ya en silla rasa,
del divino consistorio
os venga al vuestro sin tasa,
y en un vuelo
el ángel os lleve al cielo,
para ver lo que allá pasa.",copla_arte_menor,Comedia famosa de Pedro de Urdemalas,"Cervantes, Miguel de",1616,
"Aquí yace el caballero,
bien molido y mal andante,
a quien llevó Rocinante
por uno y otro sendero.
Sancho Panza el majadero
yace también junto a él,
escudero el más fiel
que vio el trato de escudero",copla_arte_menor,"DEL CACHIDIABLO,
ACADÉMICO DE LA ARGAMASILLA,
EN LA SEPULTURA DE DON QUIJOTE

Epitafio","Cervantes, Miguel de",1616,
"Reposa aquí Dulcinea,
y, aunque de carnes rolliza,
la volvió en polvo y ceniza
la muerte espantable y fea.
Fue de castiza ralea
y tuvo asomos de dama;
del gran Quijote fue llama
y fue gloria de su aldea.",copla_arte_menor,"DEL TIQUITOC,
ACADÉMICO DE LA ARGAMASILLA,
EN LA SEPULTURA DE DULCINEA DEL TOBOSO

Epitafio","Cervantes, Miguel de",1616,
"Yace aquí de un amador
el mísero cuerpo helado,
que fue pastor de ganado,
perdido por desamor.
Murió a manos del rigor
de una esquiva hermosa ingrata,
con quien su imperio dilata
la tiranía de amor.",copla_arte_menor,Yace aquí de un amador,"Cervantes, Miguel de",1616,
"Tal secretario formáis,
Gabriel, en vuestros escritos,
que por siglos infinitos
en él os eternizáis;
de la ignorancia sacáis
la pluma, y en presto vuelo
de lo más bajo del suelo
al cielo la levantáis.",copla_arte_menor,Tal secretario formáis,"Cervantes, Miguel de",1616,
"Desde hoy más, la discreción
quedará puesta en su punto,
y el hablar y escribir junto
en su mayor perfección,
que en esta nueva ocasión
nos muestra, en breve distancia,
Demóstenes su elegancia
y su estilo Cicerón.",copla_arte_menor,Tal secretario formáis,"Cervantes, Miguel de",1616,
"«Para dos perdices dos,»
Dijo allá el del Castañar;
Y así lo dejó pasar
Gente a la buena de Dios.
 No lo escuchará ninguno
De estómago fuerte hoy día.
Sin replicar: «No, García:
Para dos perdices... uno.»",copla_castellana,Epigrama,"Hartzenbusch, Juan Eugenio",1880,
"Rico el matiz, leve el ala,
Como linda mariposa,
Vaga Amor de rosa en rosa,
Mostrando viveza y gala;
  Mas si una luz mira ciego,
Vuela, llega, en torno gira,
Se acerca, tócala, espira,
Y consúmese en su fuego.",copla_castellana, EL AMOR Y LA MARIPOSA. MADRIGAL,"Martínez de la Rosa, Francisco de Paula",1862,
"Pinta mi amigo el pintor
Sus angelones dorados,
En nubes arrodillados,
Con soles alrededor.
Pínteme con sus pinceles
Los angelitos medrosos
Que me trajeron, piadosos,
Sus dos ramos de claveles.",copla_castellana,Versos sencillos. XL,"Martí, José",1895,
"¡Todas las noches te veo
y hablo contigo y te toco
y te abrazo como un loco,
te acaricio... y te poseo!
¿Sin embargo, estás cautiva
en una tumba desierta...
qué me importa que estés muerta,
si en mis sueños estás viva?",copla_castellana,Gotas de ajenjo. LXXXVI,"Flórez, Julio",1923,
"Desde Adán hasta la fecha
Llora el hombre sus quebrantos,
Y hay de suspiros y llantos
Una borrasca deshecha.
¡Cuan poderoso es el flujo
De engañar a los demás!
¿Acaso el dolor es más
Que un artículo de lujo?",copla_castellana,Epigrama,"Pombo, Rafael",1912,
"Bondad de las noches solas
En que nuestra alma dormita
Ante la luna infinita
Que reina sobre las olas.
Abismo de resplandor
En que, con dulce martirio,
Se doblega como un lirio
La tristeza del amor.",copla_castellana,Intermezzo. Luna llena,"Lugones, Leopoldo",1938,
"El pleno sol goza enhiesta
Sobre un seco y alto tronco.
Desgrana en su arrullo ronco
Su áurea mazorca la siesta.
El follaje, más umbrío,
Le ofrece en vano su toldo,
Y en palpitante rescoldo
Mulle su pluma el estío...",copla_castellana, LA TORCAZ,"Lugones, Leopoldo",1938,
"Noche obscura, viento leve,
Y sobre la tierra bruna,
Diríase que la nieve
Va pulverizando luna.
La hojarasca en el reposo
Se arrebuja como un manto;
Y en nuestro amor silencioso,
A flor de alma corre llanto.",copla_castellana,Invierno,"Lugones, Leopoldo",1938,
"Si del boscaje fecundo
No quise flores cortar,
Cuando vi en mi afán profundo
Que al robárselas al mundo
Se las robaba a tu altar,
En mi ansia por tributarte
Mi ofrenda de admiración,
Acudo, señora, a darte,
Si no las flores del arte,
Las flores del corazón.",copla_real,A LA EMINENTE ACTRIZ SALVADORA CAYRÓN,"Acuña, Manuel",1873,
"Por islas de Sotavento
un avión zumba en el viento.
Marino viento que zumba
en el tambor de la rumba
por Islas de Sotavento.
La palmera afromarina
negra, verde, seca, fina,
cómo se retuerce y comba
en un aire de zambomba
la palmera afromarina.",copla_real,El poema afro-vocal,"Castañeda Aragón, Gregorio",1960,Yes
"Duerme, Niño, el sueño blando
en esta cuna escondida,
aunque tu madre llorando
por tu existencia llamando
quiera volverte a la vida.
Porque en la noche sombría
de nuestra vida ilusoria
no has de encontrar, alma mía,
la luz del eterno día
que has encontrado en la gloria.",copla_real,Epitafio a un niño,"Coronado, Carolina",1911,
"Aquí la envidia y mentira
me tuvieron encerrado.
Dichoso el humilde estado
del sabio que se retira
de aqueste mundo malvado,
y con pobre mesa y casa
en el campo deleitoso
con sólo Dios se compasa
y a solas su vida pasa
ni envidiado ni envidioso.",copla_real,ODA XXIII. A LA SALIDA DE LA CÁRCEL,"León, Fray Luis de",1591,
"Si vos pretendéis que venga
a ser tan gran necio el mundo,
que por vuestra barba luenga,
por filósofo profundo,
sin otro argumento, os tenga;
mirad que dais ocasión
a que ya cualquier cabrón,
por la gran barba que cría,
aspire a ser algún día
otro Séneca o Platón.",copla_real,A un letrado,"de Argensola, Bartolomé Leonardo ",1631,
"Preguntó al gato Mambrú
El lebrel Perdonavidas:
—Pariente de Micifú,
¿Qué secreto tienes tú
Para vivir siete vidas?
Y Mambrú le contestó:
—Mi secreto es muy sencillo.
Pues no consiste sinó
En frecuentar como yo
El aseo y el cepillo.",copla_real,Las siete vidas del gato,"Pombo, Rafael",1912,
"Amoroso pensamiento,
si te precias de ser mío,
camina con tan buen tiento
que ni te humille el desvío
ni ensoberbezca el contento.
Ten un medio -si se acierta
a tenerse en tal porfía-:
no huyas de la alegría
ni menos cierres la puerta
al llanto que amor envía",copla_real,La Galatea,"de Cervantes Saavedra, Miguel",1616,
"¡Oh altissima cordura 
a do todo el bien consiste, 
yo llena de hermosura 
de tu divina apostura 
razón digna me heziste; 
yo soy diuina en el cielo 
porque de ti soy mandada; 
yo soy de tan alto vuelo; 
yo soy la que en este suelo 
jamás me conturba nada! ",copla_real,Paso de la razón y la fama,"Timoneda, Juan de",1583,
"Calla, miserable Olvido,
hijo de la misma muerte;
no compares tu partido,
que ser tuyo o no haber sido
todo casi es una suerte;
y ven en conocimiento
de mi gracia y eccelencia;
que yo soy de nacimiento,
hija del entendimiento,
madre de la providencia.",copla_real,Memoria,"Castillejo, Cristóbal de",1556,
"Mas el doctor no sabía
que hoy es siempre todavía.",couplet,Proverbios y Cantares - XXXVIII,"Machado, Antonio",1939,
"No doy al César lo que es del César
porque no tengo nada del César",couplet,No doy al César lo que es del César,"Fuertes, Gloria",1998,Yes
"Sr. Enemigo: 
—Déjeme ser su amigo",couplet,Sr. Enemigo,"Fuertes, Gloria",1998,Yes
"Siempre te amo por primera vez
Siempre te amo la primera vez",couplet,Tiempos,"Gelman, Juan",2014,Yes
"Doy consejo, a fuer de viejo:
nunca sigas mi consejo.",couplet,Proverbios y Cantares - XCIV,"Machado, Antonio",1939,
"Colmena de la tarde, diálogo en el vergel:
la palabra es abeja, pero el silencio es miel.",couplet,"Colmena de la tarde, diálogo en el vergel","Torres Bodet, Jaime",1974,Yes
"A veces me dan ganas de llorar,
pero las suple el mar.",couplet,Elegía,"Gorostiza, José",1973,Yes
"Estoy mejor desde que hice el recuento,
es menos lo que me falta que lo que tengo.",couplet,Balance,"Fuertes, Gloria",1998,Yes
"Hay algo de nadie respirando en la casa
del muerto, un sol de hielo, cucharas dobladas",couplet,Las memorias decapitadas,"Jiménez Domínguez, Jesús",-,Yes
"—Ya se oyen palabras viejas.
—Pues aguzad las orejas.",couplet,PROVERBIOS Y CANTARES. LXXXVI,"Machado, Antonio",1939,
"Qui la vida quisiere de sant Millán saber,
e de la su istoria bien certano seer,
meta mientes en esto que yo quiero leer:
verá adó embían los pueblos so aver.",cuaderna_vía,Vida de San Millán de la Cogolla,"Berceo, Gonzalo de",en torno a 1260,
"Había en una tierra un hombre labrador  
que usaba más la reja que no otra labor, 
más amaba a la tierra que a su Creador,
y era de todas formas hombre revolvedor.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260,
"Era un simple clérigo, pobre de clerecía
dicié cutiano missa de la Santa María;
non sabié decir otra, diciéla cada día,
más la sabié por uso que por sabiduría.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260,
"Murió el avaricioso de tierra bien cargado 
y en soga de diablos fue pronto cautivado.
Lo arrastraban con cuerdas de coces bien sobado,
Le cobraban al doble que el pan que había robado.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260,
"Si mi aliento sirviera para resucitarte,
yo sin él me quedara por volver a adorarte.
y aún después de muerto, volvería a amarte
y la muerte daría por volver a besarte.",cuaderna_vía,EN CUADERNA VIA (Reeditado),donrevis,-,Yes
"Entonces habló un ángel dijo: ""Yo soy testigo,
es verdad, no mentira esto que yo os digo. 
El cuerpo que llevaba esta alma consigo   
fue de Santa María vasallo y amigo"". ",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260,
"Luego que este nombre de la Santa Regina
escucharon los diablos huyeron por la esquina.
Se derramaron todos igual que una neblina,
dejando abandonada aquella alma mezquina.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260,
"Yo, el maestro Gonzalo de Berceo llamado,
yendo en romería acaecí en un prado
verde, y bien sencido, de flores bien poblado,
lugar apetecible para el hombre cansado.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260,
"Daban olor soberbio las flores bien olientes,
refrescaban a la par las caras y las mentes;
manaban cada canto fuentes claras corrientes,
en verano bien frías, en invierno calientes.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260,
"Gran abundancia había de buenas arboledas,
higueras y granados, perales, manzanedas,
y muchas otras frutas de diversas monedas,
pero no las había ni podridas ni acedas.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260,
"Como en chica rosa está mucha color
y en oro muy poco gran precio y gran valor,
como en poco blasmo yace gran buen olor,
así en dueña chica yace muy gran sabor.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360,
"Como robí pequeño tiene mucha bondad,
color, virtud y precio y noble claridad,
así dueña pequeña tiene mucha beldad,
hermosura, donaire, amor y lealtad.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360,
"Chica es la calandria y chico el ruiseñor,
pero más dulce cantan que otra ave mayor;
la mujer que es chica por eso es mejor:
en doñeo es más dulce que azúcar ni flor.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360,
"He de pedir en la Audiencia 
para todo malhechor, 
que lo condenen a ausencia 
que no hay castigo mayor.",cuarteta,Amores y amoríos. Comedia en cuatro actos,"Alvarez Quintero, Serafín / Alvarez Quintero, Joaquín",1944,Yes
